"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta2","Upper Pitt","14.8836475131753","5.25098350472955","4.64671100561592","11.3129727120343","14.8954929663926","18.4373024592201","25.1433507335891","1.00136728885377","4400"
"beta3","Upper Pitt","6.56481188226371","4.06218082846016","0.494516201064239","3.36810900811906","6.06998093790181","9.19645562187521","15.586839858514","1.0019253564932","2200"
"deviance","Upper Pitt","-241.323802566803","3.44964948849128","-246.185276586403","-243.901778613052","-241.923250352195","-239.400972685206","-233.052452954973","1.00084089011391","10000"
"sigma","Upper Pitt","0.772314777220371","0.0704972242876669","0.648735210075847","0.722058643425983","0.767033953004101","0.816419180654638","0.925719592991355","1.00101124428249","10000"
"alpha","Harrison","1.52807820849088","0.201958924656456","1.13208245604371","1.3950138161243","1.5271641880949","1.66195829681944","1.92887105728499","1.00087981280375","10000"
"beta0","Harrison","2.26064524370535","1.14660725840543","0.538671656549877","1.36141668480833","2.12034558454082","3.00398221277737","4.80366421383699","1.00165385302166","2900"
"beta1","Harrison","1.06368543461843","0.840625234888968","0.0371527800521925","0.401196867940048","0.872053921606301","1.53227832160781","3.09171905364976","1.00103354739682","10000"
"beta2","Harrison","0.984554794730257","0.804052017082175","0.0330202944987662","0.347325261563609","0.783584592463172","1.42833731540647","2.95090591070805","1.00090739705039","10000"
"beta3","Harrison","2.42787665392804","1.21056615834289","0.30927611144215","1.53127283825753","2.38048777591705","3.25352560948114","4.91710431279831","1.00106739887666","9300"
"deviance","Harrison","-185.93347475089","3.44067859184261","-191.037063972356","-188.397922118661","-186.458524199761","-184.045157347353","-177.869603134583","1.00118379340423","6500"
"sigma","Harrison","1.48446689547364","0.133293675682375","1.25262933644479","1.3907860106484","1.47676950243755","1.56820548366249","1.76749610072413","1.00100623876268","10000"
